Solved # rounds = 1 in 1.60s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, R
Team 16: 59, 60, 61, R
Team 17: 62, 63, 64, R
================================================================
Solved # rounds = 2 in 3.81s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, R
Team 16: 59, 60, 61, R
Team 17: 62, 63, 64, R
Round 2
Team 1: 0, 8, 23, 29
Team 2: 1, 9, 21, R
Team 3: 2, 10, 17, 57
Team 4: 3, 14, 53, 61
Team 5: 4, 24, 40, 44
Team 6: 5, 27, 39, 49
Team 7: 6, 18, 25, 54
Team 8: 7, 35, 60, 64
Team 9: 11, 15, 36, 62
Team 10: 12, 26, 32, 45
Team 11: 13, 19, 38, R
Team 12: 16, 37, 48, 63
Team 13: 20, 43, 47, 59
Team 14: 22, 33, 55, 58
Team 15: 28, 41, 46, R
Team 16: 30, 34, 51, 52
Team 17: 31, 42, 50, 56
================================================================
Solved # rounds = 3 in 5.09s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, R
Team 16: 59, 60, 61, R
Team 17: 62, 63, 64, R
Round 2
Team 1: 0, 8, 23, 29
Team 2: 1, 9, 21, R
Team 3: 2, 10, 17, 57
Team 4: 3, 14, 53, 61
Team 5: 4, 24, 40, 44
Team 6: 5, 27, 39, 49
Team 7: 6, 18, 25, 54
Team 8: 7, 35, 60, 64
Team 9: 11, 15, 36, 62
Team 10: 12, 26, 32, 45
Team 11: 13, 19, 38, R
Team 12: 16, 37, 48, 63
Team 13: 20, 43, 47, 59
Team 14: 22, 33, 55, 58
Team 15: 28, 41, 46, R
Team 16: 30, 34, 51, 52
Team 17: 31, 42, 50, 56
Round 3
Team 1: 0, 17, 46, 61
Team 2: 1, 7, 34, 62
Team 3: 2, 36, 40, R
Team 4: 3, 4, 27, 51
Team 5: 5, 45, 55, R
Team 6: 6, 10, 32, 47
Team 7: 8, 14, 19, 26
Team 8: 9, 15, 16, 58
Team 9: 11, 20, 28, 49
Team 10: 12, 18, 33, 60
Team 11: 13, 22, 39, 43
Team 12: 21, 29, 42, 53
Team 13: 23, 37, 52, 56
Team 14: 24, 35, 48, 59
Team 15: 25, 30, 44, R
Team 16: 31, 41, 57, 64
Team 17: 38, 50, 54, 63
================================================================
Solved # rounds = 4 in 6.23s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, R
Team 16: 59, 60, 61, R
Team 17: 62, 63, 64, R
Round 2
Team 1: 0, 8, 23, 29
Team 2: 1, 9, 21, R
Team 3: 2, 10, 17, 57
Team 4: 3, 14, 53, 61
Team 5: 4, 24, 40, 44
Team 6: 5, 27, 39, 49
Team 7: 6, 18, 25, 54
Team 8: 7, 35, 60, 64
Team 9: 11, 15, 36, 62
